# chiN; fA
20.00 0.2436
19.00 0.2518
18.00 0.2614
17.00 0.2722
16.00 0.2853
15.00 0.2999
14.00 0.3183
13.00 0.3410
12.00 0.3721
11.50 0.3950
11.00 0.4245
10.75 0.4470 # Poor accuracy due to thin slice
10.495 0.50
